university_id,university_name,province,city,type,specialization,programs_offered,eligibility_criteria,fee_range_year_min,fee_range_year_max,application_window,apply_url,website,ranking_tier,notes
ned,NED University of Engineering & Technology,Sindh,Karachi,public,"Engineering, IT","BE EE/ME/Civil/CE, BS CS/SE",Pre-Eng/ICS ≥60% + entry test,60000,150000,Jun–Aug,https://www.neduet.edu.pk/admissions,https://www.neduet.edu.pk,A,
duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,public,"Engineering, IT","BE EE/CE/AE/Industrial, BS CS",Pre-Eng ≥60% + entry test,40000,120000,Jun–Aug,https://www.duet.edu.pk/admissions,https://www.duet.edu.pk,B,
fast-khi,FAST-NUCES Karachi,Sindh,Karachi,private,"IT, CS, Engineering, Business","BS CS/SE/AI, BEE, BBA; MS/PhD",ICS/Pre-Eng ≥60% + FAST test/SAT,300000,500000,Jun–Aug,https://nu.edu.pk/admissions,https://nu.edu.pk,A,
iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,private,"Business, IT","BBA, BS CS/AI, MBA/MS",Inter ≥50–60% + test/interview,350000,600000,Jun–Sep,https://admissions.iobm.edu.pk/,https://www.iobm.edu.pk,A,
szabist-khi,SZABIST Karachi,Sindh,Karachi,private,"Business, IT, Engineering","BBA, BS CS/SE, BE; MBA/MS/PhD",Inter ≥50–60% + test/interview,250000,500000,Jun–Sep,https://szabist.edu.pk/admissions,https://szabist.edu.pk,B,
pafkiet,PAF-KIET,Sindh,Karachi,private,"IT, Business, EE","BS CS/SE, BEE, BBA; MBA/MS",Inter ≥50–60% + test/interview,180000,300000,Jun–Sep,https://admissions.pafkiet.edu.pk/,https://www.pafkiet.edu.pk,B,
dsu,DHA Suffa University (DSU),Sindh,Karachi,private,"Engineering, IT, Business","BE ME/EE, BS CS/SE, BBA; MBA/MS",Inter ≥50–60% + test/interview,220000,400000,Jun–Sep,https://www.dsu.edu.pk/admissions,https://www.dsu.edu.pk,B,
maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,private,"IT, Engineering, Business","BS CS/SE, BE, BBA; MBA/MS/PhD",Inter ≥50–60% + test/interview,200000,360000,Jun–Sep,https://www.jinnah.edu.pk/admissions,https://www.jinnah.edu.pk,B,
iqra,Iqra University,Sindh,Karachi,private,"Business, IT","BBA, BS CS/SE; MBA/MS/PhD",Inter ≥50–60% + test/interview,150000,300000,Jul–Sep,https://iqra.edu.pk/admissions,https://iqra.edu.pk,B,
bahria-khi,Bahria University Karachi Campus,Sindh,Karachi,semi-public,"IT, Business, EE","BS CS/SE, BEE, BBA; MBA/MS/PhD",Inter ≥50–60% + test/SAT,220000,380000,Jun–Sep,https://bahria.edu.pk/admissions,https://bahria.edu.pk,B,
muet,Mehran University of Engineering & Technology (MUET),Sindh,Jamshoro,public,"Engineering, IT","BE/BS Engg, BS CS/SE; MS/PhD",Pre-Eng ≥60% + entry test,50000,120000,Jun–Aug,https://www.muet.edu.pk/admissions,https://www.muet.edu.pk,B,
quest,QUEST Nawabshah,Sindh,Nawabshah,public,"Engineering, IT","BE EE/CE/ME, BS CS/SE",Pre-Eng ≥60% + entry test,50000,120000,Jun–Aug,https://www.quest.edu.pk/admissions,https://www.quest.edu.pk,B,
sukkur-iba,Sukkur IBA University,Sindh,Sukkur,public,"Business, IT","BBA, BS CS/DS; MBA/MS/PhD",Inter ≥50–60% + test/interview,80000,200000,Jun–Sep,https://www.iba-suk.edu.pk/admissions,https://www.iba-suk.edu.pk,A,
uet-lhr,UET Lahore,Punjab,Lahore,public,"Engineering, IT","BE/BS Engg, BS CS/SE; MS/PhD",Pre-Eng ≥60% + ECAT,50000,150000,Jun–Aug,https://admission.uet.edu.pk/,https://uet.edu.pk,A,
uettaxila,UET Taxila,Punjab,Taxila,public,"Engineering, IT","BE/BS Engg, BS CS/SE; MS/PhD",Pre-Eng ≥60% + ECAT,50000,150000,Jun–Aug,https://admissions.uettaxila.edu.pk/,https://uettaxila.edu.pk,B,
fast-lhr,FAST-NUCES Lahore,Punjab,Lahore,private,"IT, CS, Engineering, Business","BS CS/SE/AI, BEE, BBA; MS/PhD",ICS/Pre-Eng ≥60% + FAST test/SAT,300000,500000,Jun–Aug,https://nu.edu.pk/admissions,https://nu.edu.pk,A,
lums,LUMS,Punjab,Lahore,private,"Business, CS/Engineering","BSc/BS, MBA/MS/PhD",Holistic + LUMS Test/SAT/GMAT/GRE,800000,1400000,Apr–Aug,https://admissions.lums.edu.pk/,https://lums.edu.pk,A,
pucit,PUCIT (Punjab University),Punjab,Lahore,public,"IT, CS",BS CS/SE/DS; MS/PhD,Inter ≥60% + departmental test,80000,150000,Jul–Sep,https://pucit.edu.pk/admissions,https://pucit.edu.pk,B,
itu,Information Technology University (ITU),Punjab,Lahore,public,"IT, CS, EE, Data",BS CS/EE/DS; MS/PhD,ICS/Pre-Eng ≥60% + ITU test,150000,350000,Jun–Aug,https://itu.edu.pk/admissions,https://itu.edu.pk,B,
comsats-lhr,COMSATS Lahore,Punjab,Lahore,public,"IT, Engineering, Business","BS CS/SE, BBA; MS/PhD",Inter ≥50–60% + NTS/COMSATS test,100000,250000,Jun–Sep,https://lahore.comsats.edu.pk/admissions,https://lahore.comsats.edu.pk,B,
uol,University of Lahore (UOL),Punjab,Lahore,private,"Business, IT, Engineering","BBA, BS CS/SE, BE; MBA/MS/PhD",Inter ≥50–60% + test/interview,200000,380000,Jun–Sep,https://uol.edu.pk/admissions,https://uol.edu.pk,B,
ucp,University of Central Punjab (UCP),Punjab,Lahore,private,"Business, IT, Engineering","BBA, BS CS/SE, BE; MBA/MS/PhD",Inter ≥50–60% + test/interview,220000,400000,Jun–Sep,https://ucp.edu.pk/admissions,https://ucp.edu.pk,B,
umt,University of Management & Technology (UMT),Punjab,Lahore,private,"Business, IT, Engineering","BBA, BS CS/SE, BE; MBA/MS/PhD",Inter ≥50–60% + test/interview,220000,380000,Jun–Sep,https://admissions.umt.edu.pk/,https://www.umt.edu.pk,B,
lse,Lahore School of Economics (LSE),Punjab,Lahore,private,"Business, Data",BSc Econ/Finance; MS/MBA/PhD,Inter ≥60% + test/interview,500000,900000,Jun–Aug,https://lse.edu.pk/admissions,https://lse.edu.pk,A,
nfc-iet,NFC IET Multan,Punjab,Multan,public,"Engineering, IT","BE/BS Engg, BS CS; MS",Pre-Eng ≥60% + entry test,60000,150000,Jun–Aug,https://www.nfciet.edu.pk/admissions,https://www.nfciet.edu.pk,B,
hitec,HITEC University Taxila,Punjab,Taxila,private,"Engineering, IT, Business","BE/BS Engg, BS CS, BBA; MS/MBA",Pre-Eng/ICS + test,180000,320000,Jun–Sep,https://hitecuni.edu.pk/admissions,https://hitecuni.edu.pk,B,
wah,University of Wah,Punjab,Wah Cantt,public,"Engineering, IT, Business","BE/BS Engg, BS CS, BBA; MS/MBA",Pre-Eng/ICS + test,150000,300000,Jun–Sep,https://uow.edu.pk/admissions,https://uow.edu.pk,B,
uet-pesh,UET Peshawar,Khyber Pakhtunkhwa,Peshawar,public,"Engineering, IT","BE/BS Engg, BS CS; MS/PhD",Pre-Eng ≥60% + ETEA/ECAT,50000,150000,Jun–Aug,https://www.uetpeshawar.edu.pk/admissions,https://www.uetpeshawar.edu.pk,B,
giki,GIKI,Khyber Pakhtunkhwa,Topi,private,"Engineering, CS",BS Engg/CS; MS/PhD,Competitive test/SAT,700000,1200000,Apr–Aug,https://admissions.giki.edu.pk/,https://giki.edu.pk,A,
imsciences,IMSciences Peshawar,Khyber Pakhtunkhwa,Peshawar,public,"Business, IT","BBA, BS CS/DS; MBA/MS/PhD",Inter ≥50–60% + test/interview,180000,320000,Jun–Sep,https://imsciences.edu.pk/admissions,https://imsciences.edu.pk,B,
city-pesh,City University of Science & IT (CUSIT),Khyber Pakhtunkhwa,Peshawar,private,"IT, Engineering, Business","BS CS/SE, BE, BBA; MS/MBA",Inter ≥50–60% + test/interview,160000,300000,Jun–Sep,https://www.cityuniversity.edu.pk/admissions,https://www.cityuniversity.edu.pk,B,
cecos,CECOS University,Khyber Pakhtunkhwa,Peshawar,private,"Engineering, IT, Architecture, Business","BS CS/SE, BE, BArch, BBA; MS/MBA",Inter ≥50–60% + test/interview,180000,320000,Jun–Sep,https://www.cecos.edu.pk/admissions,https://www.cecos.edu.pk,B,
buitems,BUITEMS Quetta,Balochistan,Quetta,public,"Engineering, IT, Business","BS Engg/CS, BBA; MS/MPhil",Inter ≥50–60% + entry test,60000,150000,Jul–Sep,https://admissions.buitms.edu.pk/,https://www.buitms.edu.pk,B,
buetk,BUET Khuzdar,Balochistan,Khuzdar,public,"Engineering, IT","BE/BS Engg, BS CS; MS",Pre-Eng ≥60% + entry test,60000,150000,Jun–Aug,https://www.buetk.edu.pk/admissions,https://www.buetk.edu.pk,B,
nust,NUST,Islamabad Capital Territory,Islamabad,public,"Engineering, IT, Business","BS Engg/CS, BBA; MS/MBA/PhD",FSc ≥60% + NUST NET/SAT; GAT/NET for PG,350000,750000,May–Aug,https://ugadmissions.nust.edu.pk/,https://nust.edu.pk,A,
pieas,PIEAS,Islamabad Capital Territory,Islamabad,public,"Engineering, CS",BS Engg/CS; MS/PhD,Highly competitive test/merit,300000,600000,Apr–Aug,https://pieas.edu.pk/admissions,https://pieas.edu.pk,A,
ist,Institute of Space Technology (IST),Islamabad Capital Territory,Islamabad,public,"Aerospace, Avionics, IT",BS Aerospace/Avionics/CS; MS/PhD,Inter ≥60% + IST test/SAT,250000,500000,Jun–Aug,https://www.ist.edu.pk/admissions,https://www.ist.edu.pk,B,
air,Air University,Islamabad Capital Territory,Islamabad,semi-public,"IT, EE, Business","BS CS/SE, BEE, BBA; MS/MBA/PhD",Inter ≥50–60% + test,200000,360000,Jun–Sep,https://au.edu.pk/admissions,https://au.edu.pk,B,
bahria-isb,Bahria University Islamabad,Islamabad Capital Territory,Islamabad,semi-public,"Business, IT, EE","BBA, BS CS/SE, BEE; MBA/MS/PhD",Inter ≥50–60% + test/SAT,220000,380000,Jun–Sep,https://bahria.edu.pk/admissions,https://bahria.edu.pk,B,
comsats-isb,COMSATS University Islamabad,Islamabad Capital Territory,Islamabad,public,"IT, Engineering, Business","BS CS/SE, BBA; MS/PhD",Inter ≥50–60% + NTS/COMSATS test,100000,250000,Jun–Sep,https://islamabad.comsats.edu.pk/admissions,https://islamabad.comsats.edu.pk,B,
cust,Capital University of Science & Technology (CUST),Islamabad Capital Territory,Islamabad,private,"IT, Engineering, Business","BS CS/SE, BE, BBA; MBA/MS/PhD",Inter ≥50–60% + test/interview,220000,420000,Jun–Sep,https://cust.edu.pk/admissions,https://cust.edu.pk,B,
nutech,NUTECH,Islamabad Capital Territory,Islamabad,public,"Engineering, Technology",BS Technology/Engg; MS/PhD,Pre-Eng ≥60% + test/interview,150000,350000,Jun–Aug,https://nutech.edu.pk/admissions,https://nutech.edu.pk,B,
