university_id,university_name,province,city,type,degree_levels,field_categories,admission_criteria_summary,fee_range_year_min,fee_range_year_max,application_window,admissions_url,apply_url,website,contact_email,hec_recognized,last_updated,notes
uok,University of Karachi (KU),Sindh,Karachi,public,"Bachelors,Masters,PhD","Science,Arts,Business,CS,IS,Media,Social-Sciences",Intermediate ≥60% + test where applicable.,40000,120000,Jul–Aug,https://uok.edu.pk/admissions,https://uok.edu.pk/admissions,https://uok.edu.pk,,True,2025-10-13,
ned,NED University of Engineering & Technology,Sindh,Karachi,public,"Bachelors,Masters,PhD","Engineering,CS,AI,Data",Pre-Eng ≥60% + entry test.,60000,150000,Jun–Jul,https://www.neduet.edu.pk/admissions,https://www.neduet.edu.pk/admissions,https://www.neduet.edu.pk,,True,2025-10-13,
iba-khi,IBA Karachi (Institute of Business Administration),Sindh,Karachi,public,"Bachelors,Masters,PhD","Business,CS,Econ,Analytics,Social-Sciences",Inter ≥65% + IBA test/SAT; GMAT/IBA (PG).,300000,600000,May–Jul,https://www.iba.edu.pk/admissions,https://www.iba.edu.pk/admissions,https://www.iba.edu.pk,,True,2025-10-13,
fast-khi,FAST-NUCES Karachi,Sindh,Karachi,private,"Bachelors,Masters,PhD","CS,SE,AI,Data,EE,Management",ICS/Pre-Eng ≥60% + FAST test/SAT.,300000,500000,Jun–Aug,https://nu.edu.pk/admissions,https://nu.edu.pk/admissions,https://nu.edu.pk,,True,2025-10-13,
muet,Mehran University of Engineering & Technology (MUET),Sindh,Jamshoro,public,"Bachelors,Masters,PhD","Engineering,CS,AI,Water,Architecture",Pre-Eng ≥60% + entry test.,50000,120000,Jun–Aug,https://www.muet.edu.pk/admissions,https://www.muet.edu.pk/admissions,https://www.muet.edu.pk,,True,2025-10-13,
duhs,Dow University of Health Sciences (DUHS),Sindh,Karachi,public,"Bachelors,Masters,PhD","Medical,Pharmacy,Dentistry,Nursing,Allied-Health",Medical entry criteria + DUHS policies.,400000,900000,Aug–Nov,https://www.duhs.edu.pk/admissions,https://www.duhs.edu.pk/admissions,https://www.duhs.edu.pk,,True,2025-10-13,
aku,Aga Khan University (AKU),Sindh,Karachi,private,"Bachelors,Masters,PhD","Medical,Nursing,Allied-Health,Education",Highly competitive test/interview; need-based aid.,1200000,2200000,Sep–Jan,https://www.aku.edu/admissions,https://www.aku.edu/admissions,https://www.aku.edu,,True,2025-10-13,
pu-lhr,University of the Punjab (PU),Punjab,Lahore,public,"Bachelors,Masters,PhD","Science,CS,Business,Arts,Law,Social-Sciences",Inter ≥60% + test (dept-wise).,40000,120000,Jul–Sep,https://pu.edu.pk/admissions,https://pu.edu.pk/admissions,https://pu.edu.pk,,True,2025-10-13,
uet-lhr,UET Lahore,Punjab,Lahore,public,"Bachelors,Masters,PhD","Engineering,CS,AI,Data",Pre-Eng ≥60% + ECAT.,50000,150000,Jun–Aug,https://admission.uet.edu.pk/,https://admission.uet.edu.pk/,https://uet.edu.pk,,True,2025-10-13,
kemu,King Edward Medical University (KEMU),Punjab,Lahore,public,"Bachelors,Masters,PhD","Medical,Dentistry,Allied-Health",National/provincial medical entry; high merit.,400000,900000,Aug–Nov,https://kemu.edu.pk/admissions,https://kemu.edu.pk/admissions,https://kemu.edu.pk,,True,2025-10-13,
lums,LUMS,Punjab,Lahore,private,"Bachelors,Masters,PhD","Business,Econ,CS,Engineering,Social-Sciences",Holistic + LUMS test/SAT/GMAT/GRE.,800000,1400000,Apr–Aug,https://admissions.lums.edu.pk/,https://admissions.lums.edu.pk/,https://lums.edu.pk,,True,2025-10-13,
giki,GIK Institute of Engineering Sciences & Technology,Khyber Pakhtunkhwa,Topi,private,"Bachelors,Masters,PhD","Engineering,CS,AI,Data",Competitive test/SAT; strong academics.,700000,1200000,Apr–Aug,https://admissions.giki.edu.pk/,https://admissions.giki.edu.pk/,https://giki.edu.pk,,True,2025-10-13,
nust,National University of Sciences & Technology (NUST),Islamabad Capital Territory,Islamabad,public,"Bachelors,Masters,PhD","Engineering,CS,AI,Data,Business,Social-Sciences",FSc ≥60% + NUST test (UG); GAT/NET (PG).,350000,750000,May–Aug,https://ugadmissions.nust.edu.pk/,https://ugadmissions.nust.edu.pk/,https://nust.edu.pk,,True,2025-10-13,
qau,Quaid-i-Azam University (QAU),Islamabad Capital Territory,Islamabad,public,"Bachelors,Masters,PhD","Science,CS,Business,Social-Sciences,IR",Inter ≥60% + departmental test.,50000,150000,Jul–Sep,https://qau.edu.pk/admissions,https://qau.edu.pk/admissions,https://qau.edu.pk,,True,2025-10-13,
shifa,Shifa Tameer-e-Millat University,Islamabad Capital Territory,Islamabad,private,"Bachelors,Masters,PhD","Medical,Nursing,Pharmacy,Allied-Health",Medical entry criteria; strong health programs.,500000,1100000,Aug–Nov,https://stmu.edu.pk/admissions,https://stmu.edu.pk/admissions,https://stmu.edu.pk,,True,2025-10-13,
buitems,BUITEMS Quetta,Balochistan,Quetta,public,"Bachelors,Masters,PhD","Engineering,CS,Business,Social-Sciences",Inter ≥50–60% + entry test.,60000,150000,Jul–Sep,https://admissions.buitms.edu.pk/,https://admissions.buitms.edu.pk/,https://www.buitms.edu.pk,,True,2025-10-13,
uob-quetta,University of Balochistan,Balochistan,Quetta,public,"Bachelors,Masters,PhD","Science,Arts,Business,Social-Sciences,Health",Inter ≥50–60% + test/interview.,30000,90000,Jul–Sep,https://www.uob.edu.pk/admissions,https://www.uob.edu.pk/admissions,https://www.uob.edu.pk,,True,2025-10-13,
must,MUST – Mirpur University of Science & Technology,Azad Jammu & Kashmir,Mirpur,public,"Bachelors,Masters,PhD","Engineering,CS,Business,Social-Sciences",Inter ≥50–60% + test/interview.,50000,150000,Jul–Sep,https://www.must.edu.pk/admissions,https://www.must.edu.pk/admissions,https://www.must.edu.pk,,True,2025-10-13,
kiu,Karakoram International University (KIU),Gilgit-Baltistan,Gilgit,public,"Bachelors,Masters,PhD","Science,CS,Business,Social-Sciences",Inter ≥50–60% + test/interview.,30000,100000,Jul–Sep,https://www.kiu.edu.pk/admissions,https://www.kiu.edu.pk/admissions,https://www.kiu.edu.pk,,True,2025-10-13,
