university_name,city,province,type,ranking,website_url,offers_FEST
"Abasyn University, Peshawar",,,,,http://abasyn.edu.pk,True
"Air University, Islamabad",,,,,https://au.edu.pk/,True
Bahria University,,,,,http://www.bahria.edu.pk/,True
Sir Syed CASE Institute of Technology,,,,,http://case.edu.pk,True
COMSATS University Islamabad,Islamabad,Islamabad Capital Territory,,,http://comsats.edu.pk,True
"Federal Urdu University of Arts, Science & Technology",,,,,http://fuuastisb.edu.pk,True
Islamabad,,,,,https://web.archive.org/web/20100301122834/http://www.bci.edu.pk/index.aspx,True
Institute of Space Technology,,,,,http://ist.edu.pk,True
National University of Sciences and Technology (Pakistan),,,,,http://nust.edu.pk,True
"International Islamic University, Islamabad",,,,,http://iiu.edu.pk,True
Iqra University,Karachi,Sindh,,,http://www.iqra.edu.pk/,True
Capital University of Science & Technology,,,,,http://cust.edu.pk,True
National University of Computer and Emerging Sciences,,,,,http://www.nu.edu.pk,True
National University of Modern Languages,,,,,http://numl.edu.pk,True
Pakistan Institute of Engineering and Applied Sciences,,,,,http://www.pieas.edu.pk/,True
National University of Technology,,,,,http://nutech.edu.pk,True
Pakistan Institute of Engineering and Technology,,,,,http://piet.edu.pk,True
Dr. A. Q. Khan Institute of Computer Sciences and Information Technology,,,,,http://ist.edu.pk,True
"Sharif College of Engineering and Technology, Lahore",,,,,,True
HITEC University,,,,,http://www.hitecuni.edu.pk,True
Information Technology University (Lahore),,,,,http://itu.edu.pk,True
Bahauddin Zakariya University,,,,,https://bzu.edu.pk,True
Lahore University of Management Sciences,,,,,http://lums.edu.pk,True
National Textile University,,,,,http://ntu.edu.pk,True
NFC Institute of Engineering and Fertilizer Research,,,,,http://iefr.edu.pk,True
NFC Institute of Engineering and Technology,,,,,http://nfciet.edu.pk,True
Rahim Yar Khan,,,,,https://www.academia.edu/121400366,True
Wah Cantonment,,,,,https://repository.lahoreschool.edu.pk/xmlui/bitstream/handle/123456789/13673/Administrative%20Units.pdf?isAllowed=y&sequence=1,True
"University of Management and Technology, Lahore",,,,,http://umt.edu.pk/,True
University of Central Punjab,,,,,http://ucp.edu.pk,True
The University of Lahore,,,,,http://uol.edu.pk/,True
Multan,,,,,https://lux.collections.yale.edu/view/place/5f8d69cf-abbc-40f0-8d1d-8655d245c9dc,True
"Bahauddin Zakariya University College of Textile Engineering, Multan",,,,,,True
Islamia University,,,,,http://iub.edu.pk,True
"University of Agriculture, Faisalabad",,,,,http://web.uaf.edu.pk,True
"University of Engineering and Technology, Taxila",,,,,http://uettaxila.edu.pk,True
University of Chakwal,,,,,http://uoc.edu.pk,True
"University of Engineering and Technology, Lahore",,,,,http://uet.edu.pk,True
"University of Engineering and Technology, Kala Shah Kaku Campus",,,,,https://newcampus.uet.edu.pk/,True
University of Engineering and Technology Faisalabad Campus,,,,,http://uet.edu.pk/campus?RID=info&campus_id=3,True
Rachna College of Engineering and Technology,,,,,http://rcet.uet.edu.pk,True
University of Faisalabad,,,,,http://tuf.edu.pk,True
University of Gujrat,,,,,http://uog.edu.pk,True
University of Wah,Wah Cantt,Punjab,,,http://uow.edu.pk,True
"Muhammad Nawaz Sharif University of Engineering and Technology, Multan",,,,,http://mnsuet.edu.pk,True
University of Sargodha,,,,,http://su.edu.pk,True
"Khawaja Fareed University of Engineering and Information Technology, Rahim Yar Khan",,,,,http://kfueit.edu.pk,True
"Quaid-e-Azam College of Engineering and Technology, Sahiwal",,,,,http://quaideazam.edu.pk,True
"University of South Asia, Lahore",,,,,http://www.usa.edu.pk/,True
Namal University,,,,,http://namal.edu.pk,True
"Government College University, Lahore",,,,,http://gcu.edu.pk,True
"Government College University, Faisalabad",,,,,https://gcuf.edu.pk,True
"Minhaj University, Lahore",,,,,http://mul.edu.pk,True
"Imperial College of Business Studies, Lahore",,,,,http://www.imperial.edu.pk/,True
GIFT University,,,,,http://gift.edu.pk,True
Lahore College for Women University,,,,,http://lcwu.edu.pk,True
University of the Punjab,,,,,https://pu.edu.pk,True
Institute of Southern Punjab,,,,,http://usp.edu.pk,True
Lahore,,,,,https://dsal.uchicago.edu/reference/gazetteer/text.html?objectid=DS405.1.I34_V16_112.gif,True
Superior University,,,,,http://superior.edu.pk,True
Dera Ghazi Khan,,,,,https://mcut.edu.pk/,True
Sialkot,,,,,https://www.academia.edu/7517541,False
CECOS University of Information Technology and Emerging Sciences,,,,,http://www.cecos.edu.pk/,True
Qurtuba University,,,,,http://www.qurtuba.edu.pk,True
"City University of Science and Information Technology, Peshawar",,,,,http://cityuniversity.edu.pk,True
"University of Engineering and Technology, Peshawar",,,,,http://uetpeshawar.edu.pk,True
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,,,,,http://www.giki.edu.pk/,True
IQRA National University,,,,,https://www.inu.edu.pk/,True
Peshawar,,,,,https://web.archive.org/web/20190719134124/https://www.asc-centralasia.edu.pk/Issue_69/07_waqar.html,True
Sarhad University of Science and Information Technology,,,,,http://suit.edu.pk,True
Gomal University,,,,,http://www.gu.edu.pk,True
"University of Engineering and Technology, Mardan",,,,,http://uetmardan.edu.pk,True
Muhammad Ali Jinnah University,,,,,http://jinnah.edu,True
Habib University,,,,,http://habib.edu.pk,True
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology,,,,,http://szabist.edu.pk,True
Dawood University of Engineering and Technology,,,,,http://duet.edu.pk,True
Karachi,,,,,https://web.archive.org/web/20100602055513/http://www.cidcm.umd.edu/mar/chronology.asp?groupId=77103,True
Indus University,,,,,http://www.indus.edu.pk/,True
DHA Suffa University,,,,,https://www.dsu.edu.pk/,True
Institute of Business Management,,,,,https://www.iobm.edu.pk,True
Institute of Industrial Electronics Engineering,,,,,http://iiee.edu.pk,True
Mehran University of Engineering and Technology,,,,,http://muet.edu.pk,True
NED University of Engineering and Technology,,,,,http://www.neduet.edu.pk/,True
Karachi Institute of Economics and Technology,,,,,https://kiet.edu.pk/,True
"Quaid-e-Awam University of Engineering, Science and Technology",,,,,http://quest.edu.pk,True
Larkana,,,,,https://dsal.uchicago.edu/reference/gazetteer/pager.html?objectid=DS405.1.I34_V16_150.gif,True
"Thar Institute of Engineering, Science, and Technology, Tharparkar",,,,,http://tiest.neduet.edu.pk,True
Sir Syed University of Engineering and Technology,,,,,http://www.ssuet.edu.pk/,True
Sindh Agriculture University,,,,,http://sau.edu.pk,True
Sukkur IBA University,Sukkur,Sindh,,,http://iba-suk.edu.pk,True
UIT University,,,,,https://www.uitu.edu.pk/,True
University of Karachi,,,,,http://uok.edu.pk,True
Salim Habib University,,,,,http://shu.edu.pk,True
Nazeer Hussain University,,,,,http://www.nhu.edu.pk/,True
University of Sindh,,,,,http://www.usindh.edu.pk,True
Ziauddin University,,,,,http://zu.edu.pk,True
Balochistan University of Engineering and Technology,,,,,https://www.buetk.edu.pk/,True
"Balochistan University of Information Technology, Engineering and Management Sciences",,,,,https://www.buitms.edu.pk,True
Mirpur University of Science and Technology,,,,,http://www.must.edu.pk/,True
University of Azad Jammu and Kashmir,,,,,http://www.ajku.edu.pk,True
Pakistan Engineering Council,,,,,,True
Washington Accord,,,,,https://web.archive.org/web/20100215150256/http://www.utar.edu.my/fes/file/OBE.pdf,True
Regulation and licensure in engineering,,,,,http://sce.uhcl.edu/helm/SWEBOK_IEEE/papers/10%20reprint%205.pdf,True
Higher Education Commission (Pakistan),,,,,http://pu.edu.pk/images/journal/ier/current_pdf/2_Hamid%20Niazi_The%20Contribution%20_Formatted.pdf,True
Mirpur University of Science & Technology,,,,,http://www.must.edu.pk/,True
Air University Pakistan,,,,,https://au.edu.pk/,True
COMSATS Institute of Information Technology,,,,,http://comsats.edu.pk,True
Federal Urdu University,,,,,http://fuuastisb.edu.pk,True
Institute of Environmental Sciences and Engineering,,,,,http://nust.edu.pk,True
Institute of Geographical Information Systems,,,,,http://nust.edu.pk,True
NUST Institute of Civil Engineering,,,,,http://nust.edu.pk,True
NUST School of Electrical Engineering and Computer Science,,,,,http://seecs.nust.edu.pk,True
NUST School of Mechanical and Manufacturing Engineering,,,,,http://smme.nust.edu.pk,True
"University of Engineering & Technology, Peshawar",,,,,http://uetpeshawar.edu.pk,True
College of Aeronautical Engineering,,,,,http://cae.nust.edu.pk,True
Military College of Engineering (Pakistan),,,,,https://mce.nust.edu.pk/,True
Muhammad Nawaz Sharif University of Engineering & Technology,,,,,http://mnsuet.edu.pk,True
College of Electrical and Mechanical Engineering,,,,,https://ceme.nust.edu.pk,True
Military College of Signals,,,,,http://mcs.nust.edu.pk,True
Khawaja Fareed University of Engineering and Information Technology,,,,,http://kfueit.edu.pk,True
NED University of Engineering & Technology,Karachi,Sindh,,,http://www.neduet.edu.pk/,True
Pakistan Navy Engineering College,,,,,http://pnec.nust.edu.pk,True
Usman Institute of Technology,,,,,https://www.uitu.edu.pk/,True
Gilgit-Baltistan,,,,,https://web.archive.org/web/20151222132257/https://www.kiu.edu.pk/campuses.php,True
Khyber Pakhtunkhwa,,,,,https://ueas.edu.pk/,True
Punjab,,,,,http://pu.edu.pk/images/journal/history/PDF-FILES/7.%20Kanwal%20Khalid_v52_2_15.pdf,True
Sindh,,,,,https://www.academia.edu/1934949,True
Lower Dir,,,,,http://www.uom.edu.pk,True
Madrassas,,,,,https://www.brookings.edu/articles/pakistans-madrassahs-ensuring-a-system-of-education-not-jihad/,True
Ministry,,,,,http://www.aepam.edu.pk/Index.asp?PageId=1,True
NAVTTC,,,,,,True
NCH,,,,,,True
PBC,,,,,,True
PCATP,,,,,,True
PCP,,,,,,False
PMDC,,,,,https://lux.collections.yale.edu/view/group/7c523797-2d0e-45da-bd10-301c279e46a5,True
PNC,,,,,,True
PVMC,,,,,,False
Abbottabad,,,,,http://biseatd.edu.pk,True
AJK,,,,,https://ajkbise.edu.pk/,True
Bahawalpur,,,,,http://bisebwp.edu.pk,True
Bannu,,,,,http://www.biseb.edu.pk/,True
Catholic,,,,,https://web.archive.org/web/20091119093346/http://www.cbe.edu.pk/cbe.htm,True
Faisalabad,,,,,http://bisefsd.edu.pk,True
Federal Board,,,,,http://fbise.edu.pk,True
Gujranwala,,,,,http://www.bisegrw.edu.pk/jurisdication.html,True
Hyderabad,,,,,http://www.biseh.edu.pk/,True
Karachi (intermediate),,,,,http://biek.edu.pk,True
Karachi (secondary),,,,,http://bsek.edu.pk,True
Rawalpindi,,,,,http://www.biserawalpindi.edu.pk/,True
Sahiwal,,,,,http://www.bisesahiwal.edu.pk/,True
Sargodha,,,,,http://bisesargodha.edu.pk,True
Swat,,,,,http://www.bisess.edu.pk/site/,False
PAS,,,,,http://uaf.edu.pk/faculties/agri/depts/agri_entomology/ent_overview.html,True
PERN,,,,,https://must.edu.pk/hec-projects/,True
PSF,,,,,,True
NTS,,,,,http://www.interface.edu.pk/students/June/Punjab-Universities-entrance-test.asp,True
Books and publishing,,,,,,True
Textbooks controversy,,,,,https://stbb.edu.pk/,True
Daanish Schools,,,,,http://daanishschools.edu.pk,True
TDF,,,,,https://dps.edu.pk/index.php,True
TCF,,,,,,True
History,,,,,https://www.journals.uchicago.edu/doi/abs/10.1086/446501?journalCode=cer,True
Pakistan International School,,,,,,True
Women's education,,,,,,True
Malala Yousafzai,,,,,http://www.brookings.edu/blogs/up-front/posts/2013/04/08-pakistan-education-winthrop,True
Academic grading,,,,,http://www.biek.edu.pk/,True
Islamic studies,,,,,https://www.hartsem.edu/courses/introduction-to-islamic-theology/,True
Pakistan studies,,,,,http://ccat.sas.upenn.edu/arth/meister/pakistan.html,True
Pakistani students abroad,,,,,http://www.map.edu.pt/,True
Rankings of universities,,,,,https://www.timeshighereducation.com/world-university-rankings/2017/world-ranking#!/page/0/length/25/sort_by/rank_label/sort_order/asc/cols/rank_only,True
Ragging in colleges and universities,,,,,https://jphs.juw.edu.pk/index.php/jphs/article/view/74,True
