university_name,wiki_url
"Abasyn University, Peshawar","https://en.wikipedia.org/wiki/Abasyn_University,_Peshawar"
"Air University, Islamabad","https://en.wikipedia.org/wiki/Air_University,_Islamabad"
Bahria University,https://en.wikipedia.org/wiki/Bahria_University
Sir Syed CASE Institute of Technology,https://en.wikipedia.org/wiki/Sir_Syed_CASE_Institute_of_Technology
COMSATS University Islamabad,https://en.wikipedia.org/wiki/COMSATS_University_Islamabad
"Federal Urdu University of Arts, Science & Technology","https://en.wikipedia.org/wiki/Federal_Urdu_University_of_Arts,_Science_%26_Technology"
Islamabad,https://en.wikipedia.org/wiki/Islamabad
Institute of Space Technology,https://en.wikipedia.org/wiki/Institute_of_Space_Technology
National University of Sciences and Technology (Pakistan),https://en.wikipedia.org/wiki/National_University_of_Sciences_and_Technology_(Pakistan)
"International Islamic University, Islamabad","https://en.wikipedia.org/wiki/International_Islamic_University,_Islamabad"
Iqra University,https://en.wikipedia.org/wiki/Iqra_University
Capital University of Science & Technology,https://en.wikipedia.org/wiki/Capital_University_of_Science_%26_Technology
National University of Computer and Emerging Sciences,https://en.wikipedia.org/wiki/National_University_of_Computer_and_Emerging_Sciences
National University of Modern Languages,https://en.wikipedia.org/wiki/National_University_of_Modern_Languages
Pakistan Institute of Engineering and Applied Sciences,https://en.wikipedia.org/wiki/Pakistan_Institute_of_Engineering_and_Applied_Sciences
National University of Technology,https://en.wikipedia.org/wiki/National_University_of_Technology
Pakistan Institute of Engineering and Technology,https://en.wikipedia.org/wiki/Pakistan_Institute_of_Engineering_and_Technology
Dr. A. Q. Khan Institute of Computer Sciences and Information Technology,https://en.wikipedia.org/wiki/Dr._A._Q._Khan_Institute_of_Computer_Sciences_and_Information_Technology
"Sharif College of Engineering and Technology, Lahore","https://en.wikipedia.org/wiki/Sharif_College_of_Engineering_and_Technology,_Lahore"
HITEC University,https://en.wikipedia.org/wiki/HITEC_University
Information Technology University (Lahore),https://en.wikipedia.org/wiki/Information_Technology_University_(Lahore)
Bahauddin Zakariya University,https://en.wikipedia.org/wiki/Bahauddin_Zakariya_University
Lahore University of Management Sciences,https://en.wikipedia.org/wiki/Lahore_University_of_Management_Sciences
National Textile University,https://en.wikipedia.org/wiki/National_Textile_University
NFC Institute of Engineering and Fertilizer Research,https://en.wikipedia.org/wiki/NFC_Institute_of_Engineering_and_Fertilizer_Research
NFC Institute of Engineering and Technology,https://en.wikipedia.org/wiki/NFC_Institute_of_Engineering_and_Technology
Rahim Yar Khan,https://en.wikipedia.org/wiki/Rahim_Yar_Khan
Wah Cantonment,https://en.wikipedia.org/wiki/Wah_Cantonment
"University of Management and Technology, Lahore","https://en.wikipedia.org/wiki/University_of_Management_and_Technology,_Lahore"
University of Central Punjab,https://en.wikipedia.org/wiki/University_of_Central_Punjab
The University of Lahore,https://en.wikipedia.org/wiki/The_University_of_Lahore
Multan,https://en.wikipedia.org/wiki/Multan
"Bahauddin Zakariya University College of Textile Engineering, Multan","https://en.wikipedia.org/wiki/Bahauddin_Zakariya_University_College_of_Textile_Engineering,_Multan"
Islamia University,https://en.wikipedia.org/wiki/Islamia_University
"University of Agriculture, Faisalabad","https://en.wikipedia.org/wiki/University_of_Agriculture,_Faisalabad"
"University of Engineering and Technology, Taxila","https://en.wikipedia.org/wiki/University_of_Engineering_and_Technology,_Taxila"
University of Chakwal,https://en.wikipedia.org/wiki/University_of_Chakwal
"University of Engineering and Technology, Lahore","https://en.wikipedia.org/wiki/University_of_Engineering_and_Technology,_Lahore"
"University of Engineering and Technology, Kala Shah Kaku Campus","https://en.wikipedia.org/wiki/University_of_Engineering_and_Technology,_Kala_Shah_Kaku_Campus"
University of Engineering and Technology Faisalabad Campus,https://en.wikipedia.org/wiki/University_of_Engineering_and_Technology_Faisalabad_Campus
Rachna College of Engineering and Technology,https://en.wikipedia.org/wiki/Rachna_College_of_Engineering_and_Technology
University of Faisalabad,https://en.wikipedia.org/wiki/University_of_Faisalabad
University of Gujrat,https://en.wikipedia.org/wiki/University_of_Gujrat
University of Wah,https://en.wikipedia.org/wiki/University_of_Wah
"Muhammad Nawaz Sharif University of Engineering and Technology, Multan","https://en.wikipedia.org/wiki/Muhammad_Nawaz_Sharif_University_of_Engineering_and_Technology,_Multan"
University of Sargodha,https://en.wikipedia.org/wiki/University_of_Sargodha
"Khawaja Fareed University of Engineering and Information Technology, Rahim Yar Khan","https://en.wikipedia.org/wiki/Khawaja_Fareed_University_of_Engineering_and_Information_Technology,_Rahim_Yar_Khan"
"Quaid-e-Azam College of Engineering and Technology, Sahiwal","https://en.wikipedia.org/wiki/Quaid-e-Azam_College_of_Engineering_and_Technology,_Sahiwal"
"University of South Asia, Lahore",https://en.wikipedia.org/wiki/University_of_South_Asia_(Pakistan)
Namal University,https://en.wikipedia.org/wiki/Namal_University
"Government College University, Lahore","https://en.wikipedia.org/wiki/Government_College_University,_Lahore"
"Government College University, Faisalabad","https://en.wikipedia.org/wiki/Government_College_University,_Faisalabad"
"Minhaj University, Lahore","https://en.wikipedia.org/wiki/Minhaj_University,_Lahore"
"Imperial College of Business Studies, Lahore","https://en.wikipedia.org/wiki/Imperial_College_of_Business_Studies,_Lahore"
GIFT University,https://en.wikipedia.org/wiki/GIFT_University
Lahore College for Women University,https://en.wikipedia.org/wiki/Lahore_College_for_Women_University
University of the Punjab,https://en.wikipedia.org/wiki/University_of_the_Punjab
Institute of Southern Punjab,https://en.wikipedia.org/wiki/Institute_of_Southern_Punjab
Lahore,https://en.wikipedia.org/wiki/Lahore
Superior University,https://en.wikipedia.org/wiki/The_Superior_College
Dera Ghazi Khan,https://en.wikipedia.org/wiki/Dera_Ghazi_Khan
Sialkot,https://en.wikipedia.org/wiki/Sialkot
CECOS University of Information Technology and Emerging Sciences,https://en.wikipedia.org/wiki/CECOS_University_of_Information_Technology_and_Emerging_Sciences
Qurtuba University,https://en.wikipedia.org/wiki/Qurtuba_University
"City University of Science and Information Technology, Peshawar","https://en.wikipedia.org/wiki/City_University_of_Science_and_Information_Technology,_Peshawar"
"University of Engineering and Technology, Peshawar","https://en.wikipedia.org/wiki/University_of_Engineering_and_Technology,_Peshawar"
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,https://en.wikipedia.org/wiki/Ghulam_Ishaq_Khan_Institute_of_Engineering_Sciences_and_Technology
IQRA National University,https://en.wikipedia.org/wiki/IQRA_National_University
Peshawar,https://en.wikipedia.org/wiki/Peshawar
Sarhad University of Science and Information Technology,https://en.wikipedia.org/wiki/Sarhad_University_of_Science_and_Information_Technology
Gomal University,https://en.wikipedia.org/wiki/Gomal_University
"University of Engineering and Technology, Mardan","https://en.wikipedia.org/wiki/University_of_Engineering_and_Technology,_Mardan"
Muhammad Ali Jinnah University,https://en.wikipedia.org/wiki/Muhammad_Ali_Jinnah_University
Habib University,https://en.wikipedia.org/wiki/Habib_University
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology,https://en.wikipedia.org/wiki/Shaheed_Zulfiqar_Ali_Bhutto_Institute_of_Science_and_Technology
Dawood University of Engineering and Technology,https://en.wikipedia.org/wiki/Dawood_University_of_Engineering_and_Technology
Karachi,https://en.wikipedia.org/wiki/Karachi
Indus University,https://en.wikipedia.org/wiki/Indus_University
DHA Suffa University,https://en.wikipedia.org/wiki/DHA_Suffa_University
Institute of Business Management,https://en.wikipedia.org/wiki/Institute_of_Business_Management
Institute of Industrial Electronics Engineering,https://en.wikipedia.org/wiki/Institute_of_Industrial_Electronics_Engineering
Mehran University of Engineering and Technology,https://en.wikipedia.org/wiki/Mehran_University_of_Engineering_and_Technology
NED University of Engineering and Technology,https://en.wikipedia.org/wiki/NED_University_of_Engineering_and_Technology
Karachi Institute of Economics and Technology,https://en.wikipedia.org/wiki/Karachi_Institute_of_Economics_and_Technology
"Quaid-e-Awam University of Engineering, Science and Technology","https://en.wikipedia.org/wiki/Quaid-e-Awam_University_of_Engineering,_Science_and_Technology"
Larkana,https://en.wikipedia.org/wiki/Larkana
"Thar Institute of Engineering, Science, and Technology, Tharparkar","https://en.wikipedia.org/wiki/Thar_Institute_of_Engineering,_Science,_and_Technology,_Tharparkar"
Sir Syed University of Engineering and Technology,https://en.wikipedia.org/wiki/Sir_Syed_University_of_Engineering_and_Technology
Sindh Agriculture University,https://en.wikipedia.org/wiki/Sindh_Agriculture_University
Sukkur IBA University,https://en.wikipedia.org/wiki/Sukkur_IBA_University
UIT University,https://en.wikipedia.org/wiki/UIT_University
University of Karachi,https://en.wikipedia.org/wiki/University_of_Karachi
Salim Habib University,https://en.wikipedia.org/wiki/Salim_Habib_University
Nazeer Hussain University,https://en.wikipedia.org/wiki/Nazeer_Hussain_University
University of Sindh,https://en.wikipedia.org/wiki/University_of_Sindh
Ziauddin University,https://en.wikipedia.org/wiki/Ziauddin_University
Balochistan University of Engineering and Technology,https://en.wikipedia.org/wiki/Balochistan_University_of_Engineering_and_Technology
"Balochistan University of Information Technology, Engineering and Management Sciences","https://en.wikipedia.org/wiki/Balochistan_University_of_Information_Technology,_Engineering_and_Management_Sciences"
Mirpur University of Science and Technology,https://en.wikipedia.org/wiki/Mirpur_University_of_Science_and_Technology
University of Azad Jammu and Kashmir,https://en.wikipedia.org/wiki/University_of_Azad_Jammu_and_Kashmir
Pakistan Engineering Council,https://en.wikipedia.org/wiki/Pakistan_Engineering_Council
Washington Accord,https://en.wikipedia.org/wiki/Washington_Accord_(credentials)
Regulation and licensure in engineering,https://en.wikipedia.org/wiki/Regulation_and_licensure_in_engineering
Higher Education Commission (Pakistan),https://en.wikipedia.org/wiki/Higher_Education_Commission_(Pakistan)
Mirpur University of Science & Technology,https://en.wikipedia.org/wiki/Mirpur_University_of_Science_%26_Technology
Air University Pakistan,https://en.wikipedia.org/wiki/Air_University_Pakistan
COMSATS Institute of Information Technology,https://en.wikipedia.org/wiki/COMSATS_Institute_of_Information_Technology
Federal Urdu University,https://en.wikipedia.org/wiki/Federal_Urdu_University
Institute of Environmental Sciences and Engineering,https://en.wikipedia.org/wiki/Institute_of_Environmental_Sciences_and_Engineering
Institute of Geographical Information Systems,https://en.wikipedia.org/wiki/Institute_of_Geographical_Information_Systems
NUST Institute of Civil Engineering,https://en.wikipedia.org/wiki/NUST_Institute_of_Civil_Engineering
NUST School of Electrical Engineering and Computer Science,https://en.wikipedia.org/wiki/NUST_School_of_Electrical_Engineering_and_Computer_Science
NUST School of Mechanical and Manufacturing Engineering,https://en.wikipedia.org/wiki/NUST_School_of_Mechanical_and_Manufacturing_Engineering
"University of Engineering & Technology, Peshawar","https://en.wikipedia.org/wiki/University_of_Engineering_%26_Technology,_Peshawar"
College of Aeronautical Engineering,https://en.wikipedia.org/wiki/College_of_Aeronautical_Engineering
Military College of Engineering (Pakistan),https://en.wikipedia.org/wiki/Military_College_of_Engineering_(Pakistan)
Muhammad Nawaz Sharif University of Engineering & Technology,https://en.wikipedia.org/wiki/Muhammad_Nawaz_Sharif_University_of_Engineering_%26_Technology
College of Electrical and Mechanical Engineering,https://en.wikipedia.org/wiki/College_of_Electrical_and_Mechanical_Engineering
Military College of Signals,https://en.wikipedia.org/wiki/Military_College_of_Signals
Khawaja Fareed University of Engineering and Information Technology,https://en.wikipedia.org/wiki/Khawaja_Fareed_University_of_Engineering_and_Information_Technology
NED University of Engineering & Technology,https://en.wikipedia.org/wiki/NED_University_of_Engineering_%26_Technology
Pakistan Navy Engineering College,https://en.wikipedia.org/wiki/Pakistan_Navy_Engineering_College
Usman Institute of Technology,https://en.wikipedia.org/wiki/Usman_Institute_of_Technology
Gilgit-Baltistan,https://en.wikipedia.org/wiki/Education_in_Gilgit-Baltistan
Khyber Pakhtunkhwa,https://en.wikipedia.org/wiki/Khyber_Pakhtunkhwa#Education
Punjab,"https://en.wikipedia.org/wiki/Punjab,_Pakistan#Education"
Sindh,https://en.wikipedia.org/wiki/Sindh#Education
Islamabad,https://en.wikipedia.org/wiki/Education_in_Islamabad
Karachi,https://en.wikipedia.org/wiki/Education_in_Karachi
Lahore,https://en.wikipedia.org/wiki/Education_in_Lahore
Lower Dir,https://en.wikipedia.org/wiki/Education_in_Lower_Dir_District
Madrassas,https://en.wikipedia.org/wiki/Madrassas_in_Pakistan
Ministry,https://en.wikipedia.org/wiki/Ministry_of_Federal_Education_and_Professional_Training
NAVTTC,https://en.wikipedia.org/wiki/National_Vocational_and_Technical_Training_Commission
NCH,https://en.wikipedia.org/wiki/National_Council_for_Homeopathy
PBC,https://en.wikipedia.org/wiki/Pakistan_Bar_Council
PCATP,https://en.wikipedia.org/wiki/Pakistan_Council_for_Architects_and_Town_Planners
PCP,https://en.wikipedia.org/wiki/Pharmacy_Council_of_Pakistan
PMDC,https://en.wikipedia.org/wiki/Pakistan_Medical_%26_Dental_Council
PNC,https://en.wikipedia.org/wiki/Pakistan_Nursing_Council
PVMC,https://en.wikipedia.org/wiki/Pakistan_Veterinary_Medical_Council
Abbottabad,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Abbottabad"
AJK,"https://en.wikipedia.org/wiki/AJK_Board_of_Intermediate_and_Secondary_Education,_Mirpur"
Bahawalpur,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Bahawalpur"
Bannu,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Bannu"
Catholic,"https://en.wikipedia.org/wiki/Catholic_Board_of_Education,_Pakistan"
Dera Ghazi Khan,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Dera_Ghazi_Khan"
Faisalabad,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Faisalabad"
Federal Board,https://en.wikipedia.org/wiki/Federal_Board_of_Intermediate_and_Secondary_Education
Gujranwala,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Gujranwala"
Hyderabad,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Hyderabad"
Karachi (intermediate),"https://en.wikipedia.org/wiki/Board_of_Intermediate_Education,_Karachi"
Karachi (secondary),"https://en.wikipedia.org/wiki/Board_of_Secondary_Education,_Karachi"
Lahore,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Lahore"
Larkana,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Larkana"
Multan,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Multan"
Peshawar,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Peshawar"
Rawalpindi,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Rawalpindi"
Sahiwal,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Sahiwal"
Sargodha,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Sargodha"
Swat,"https://en.wikipedia.org/wiki/Board_of_Intermediate_and_Secondary_Education,_Swat"
PAS,https://en.wikipedia.org/wiki/Pakistan_Academy_of_Sciences
PERN,https://en.wikipedia.org/wiki/Pakistan_Educational_Research_Network
PSF,https://en.wikipedia.org/wiki/Pakistan_Science_Foundation
NTS,https://en.wikipedia.org/wiki/National_Testing_Service
Books and publishing,https://en.wikipedia.org/wiki/Books_and_publishing_in_Pakistan
Textbooks controversy,https://en.wikipedia.org/wiki/Pakistani_textbooks_controversy
Daanish Schools,https://en.wikipedia.org/wiki/Daanish_Schools
TDF,https://en.wikipedia.org/wiki/The_Dawood_Foundation
TCF,https://en.wikipedia.org/wiki/The_Citizens_Foundation
History,https://en.wikipedia.org/wiki/History_of_education_in_the_Indian_subcontinent
Pakistan International School,https://en.wikipedia.org/wiki/Pakistan_International_School
Women's education,https://en.wikipedia.org/wiki/Women%27s_education_in_Pakistan
Malala Yousafzai,https://en.wikipedia.org/wiki/Malala_Yousafzai
Academic grading,https://en.wikipedia.org/wiki/Academic_grading_in_Pakistan
Islamic studies,https://en.wikipedia.org/wiki/Islamic_studies
Pakistan studies,https://en.wikipedia.org/wiki/Pakistan_studies
Pakistani students abroad,https://en.wikipedia.org/wiki/Pakistani_students_abroad
Rankings of universities,https://en.wikipedia.org/wiki/Rankings_of_universities_in_Pakistan
Ragging in colleges and universities,https://en.wikipedia.org/wiki/Ragging_in_Pakistani_colleges_and_universities
